DATE,Close
2018-08-21,"2,733.83"
2018-08-22,"2,714.61"
2018-08-23,"2,724.62"
2018-08-24,"2,729.43"
2018-08-27,"2,780.90"
2018-08-28,"2,777.98"
2018-08-29,"2,769.29"
2018-08-30,"2,737.74"
2018-08-31,"2,725.25"
2018-09-03,"2,720.73"
2018-09-04,"2,750.58"
2018-09-05,"2,704.34"
2018-09-06,"2,691.59"
2018-09-07,"2,702.30"
2018-09-10,"2,669.48"
2018-09-11,"2,664.80"
2018-09-12,"2,656.11"
2018-09-13,"2,686.58"
2018-09-14,"2,681.64"
2018-09-17,"2,651.79"
2018-09-18,"2,699.95"
2018-09-19,"2,730.85"
2018-09-20,"2,729.24"
2018-09-21,"2,797.48"
2018-09-25,"2,781.14"
2018-09-26,"2,806.81"
2018-09-27,"2,791.77"
2018-09-28,"2,821.35"
2018-10-08,"2,716.51"
2018-10-09,"2,721.01"
2018-10-10,"2,725.84"
2018-10-11,"2,583.46"
2018-10-12,"2,606.91"
2018-10-15,"2,568.10"
2018-10-16,"2,546.33"
2018-10-17,"2,561.61"
2018-10-18,"2,486.42"
2018-10-19,"2,550.47"
2018-10-22,"2,654.88"
2018-10-23,"2,594.83"
2018-10-24,"2,603.30"
2018-10-25,"2,603.80"
2018-10-26,"2,598.85"
2018-10-29,"2,542.10"
2018-10-30,"2,568.05"
2018-10-31,"2,602.78"
2018-11-01,"2,606.24"
2018-11-02,"2,676.48"
2018-11-05,"2,665.43"
2018-11-06,"2,659.36"
2018-11-07,"2,641.34"
2018-11-08,"2,635.63"
2018-11-09,"2,598.87"
2018-11-12,"2,630.52"
2018-11-13,"2,654.88"
2018-11-14,"2,632.24"
2018-11-15,"2,668.17"
2018-11-16,"2,679.11"
2018-11-19,"2,703.51"
2018-11-20,"2,645.85"
2018-11-21,"2,651.51"
2018-11-22,"2,645.43"
2018-11-23,"2,579.48"
2018-11-26,"2,575.81"
2018-11-27,"2,574.68"
2018-11-28,"2,601.74"
2018-11-29,"2,567.44"
2018-11-30,"2,588.19"
2018-12-03,"2,654.80"
2018-12-04,"2,665.96"
2018-12-05,"2,649.81"
2018-12-06,"2,605.18"
2018-12-07,"2,605.89"
2018-12-10,"2,584.58"
2018-12-11,"2,594.09"
2018-12-12,"2,602.15"
2018-12-13,"2,634.05"
2018-12-14,"2,593.74"
2018-12-17,"2,597.97"
2018-12-18,"2,576.65"
2018-12-19,"2,549.56"
2018-12-20,"2,536.27"
2018-12-21,"2,516.25"
2018-12-24,"2,527.01"
2018-12-25,"2,504.82"
2018-12-26,"2,498.29"
2018-12-27,"2,483.09"
2018-12-28,"2,493.90"
